Rank,Name,Pos,Attempts,Comps,Pass TDs,Pass Yards,Ints,Receptions,Rec Yards,Rec TDs,Rush Yards,Rush TDs,Fumbles,Projections
248,Joshua Karty,K,,,,,,,,,,,,89.0
249,CIN,DEF,,,,,,,,,,,,89.0
250,Chad Ryland,K,,,,,,,,,,,,89.0
251,Miles Sanders,RB,,,,,,17.0,120.0,1.0,419.0,2.0,,88.9
252,Calvin Austin,WR,,,,,,35.0,400.0,2.0,14.0,,,88.4
253,Braelon Allen,RB,,,,,,18.0,135.0,1.0,328.0,3.0,,88.3
254,Cam Little,K,,,,,,,,,,,,88.0
255,Nick Westbrook-Ikhine,WR,,,,,,30.0,393.0,3.0,5.0,,,87.8
256,DeAndre Hopkins,WR,,,,,,31.0,383.0,3.0,,,,87.3
257,JAX,DEF,,,,,,,,,,,,87.0
258,Justice Hill,RB,,,,,,31.0,234.0,2.0,165.0,1.0,1.0,86.9
259,Isaac Guerendo,RB,,,,,,12.0,90.0,1.0,415.0,3.0,,86.5
260,Jaylin Noel,WR,,,,,,31.0,349.0,3.0,26.0,,,86.5
261,Cairo Santos,K,,,,,,,,,,,,86.0
262,ATL,DEF,,,,,,,,,,,,86.0
263,Jason Sanders,K,,,,,,,,,,,,86.0
264,Tyler Lockett,WR,,,,,,35.0,389.0,2.0,,,,85.9
265,Roman Wilson,WR,,,,,,29.0,387.0,3.0,,,,85.7
266,Brandin Cooks,WR,,,,,,32.0,405.0,2.0,6.0,,,85.1
267,Jalen Nailor,WR,,,,,,30.0,363.0,3.0,6.0,,,84.9
268,Noah Gray,TE,,,,,,33.0,335.0,3.0,1.0,,,84.6
269,Andrei Iosivas,WR,,,,,,31.0,356.0,3.0,,,,84.6
270,Troy Franklin,WR,,,,,,28.0,379.0,3.0,5.0,,,84.4
271,Tory Horton,WR,,,,,,30.0,400.0,2.0,17.0,,,83.7
272,Jalen Tolbert,WR,,,,,,31.0,343.0,3.0,,,,83.3
273,Greg Dortch,WR,,,,,,34.0,335.0,2.0,37.0,,,83.2
274,LV,DEF,,,,,,,,,,,,83.0
275,CAR,DEF,,,,,,,,,,,,83.0
276,Jason Myers,K,,,,,,,,,,,,83.0
277,NO,DEF,,,,,,,,,,,,83.0
278,Quentin Johnston,WR,,,,,,29.0,361.0,3.0,11.0,,1.0,82.2
279,KaVontae Turpin,WR,,,,,,27.0,315.0,2.0,77.0,1.0,1.0,82.2
280,Spencer Shrader,K,,,,,,,,,,,,82.0
281,Blake Grupe,K,,,,,,,,,,,,82.0
282,TEN,DEF,,,,,,,,,,,,81.0
283,Harold Fannin,TE,,,,,,34.0,345.0,2.0,,,,80.5
284,Adonai Mitchell,WR,,,,,,29.0,388.0,2.0,5.0,,,80.3
285,Joey Slye,K,,,,,,,,,,,,80.0
286,Andy Borregales,K,,,,,,,,,,,,80.0
287,Jermaine Burton,WR,,,,,,26.0,350.0,3.0,6.0,,,79.6
288,Nick Folk,K,,,,,,,,,,,,79.0
289,Nick Chubb,RB,,,,,,12.0,86.0,,395.0,3.0,,78.1
290,Matthew Wright,K,,,,,,,,,,,,78.0
291,AJ Barner,TE,,,,,,33.0,311.0,2.0,,,,76.1
292,Graham Gano,K,,,,,,,,,,,,75.0
293,Devin Neal,RB,,,,,,15.0,110.0,1.0,310.0,2.0,,75.0
294,Will Shipley,RB,,,,,,16.0,120.0,1.0,282.0,2.0,,74.2
295,Noah Brown,WR,,,,,,27.0,350.0,2.0,,,,74.0
296,Dustin Hopkins,K,,,,,,,,,,,,74.0
297,Malik Washington,WR,,,,,,30.0,308.0,2.0,17.0,,1.0,72.5
298,Ray-Ray McCloud,WR,,,,,,29.0,291.0,2.0,43.0,,1.0,72.4
299,Dontayvion Wicks,WR,,,,,,26.0,335.0,2.0,5.0,,,72.0
300,Pat Bryant,WR,,,,,,27.0,323.0,2.0,,,,71.3
301,Jaylin Lane,WR,,,,,,28.0,305.0,2.0,6.0,,,71.1
302,Marquez Valdes-Scantling,WR,,,,,,23.0,353.0,2.0,4.0,,,70.7
303,Parker Washington,WR,,,,,,28.0,285.0,2.0,17.0,,,70.2
304,Tahj Brooks,RB,,,,,,11.0,80.0,,350.0,3.0,1.0,70.0
305,Michael Mayer,TE,,,,,,29.0,285.0,2.0,,,,69.5
306,Noah Fant,TE,,,,,,29.0,285.0,2.0,,,,69.5
307,Emanuel Wilson,RB,,,,,,16.0,118.0,1.0,250.0,2.0,1.0,68.8
308,Kyle Monangai,RB,,,,,,8.0,58.0,,352.0,3.0,,67.0
309,Amari Cooper,WR,,,,,,21.0,319.0,2.0,,,,64.9
310,Will Dissly,TE,,,,,,26.0,255.0,2.0,,,,63.5
311,Chimere Dike,WR,,,,,,21.0,296.0,2.0,5.0,,,63.1
312,Sean Tucker,RB,,,,,,11.0,81.0,1.0,299.0,2.0,2.0,63.0
313,Tyler Conklin,TE,,,,,,26.0,245.0,2.0,,,,62.5
314,Jalen Royals,WR,,,,,,22.0,265.0,2.0,5.0,,,61.0
315,Tai Felton,WR,,,,,,21.0,267.0,2.0,11.0,,,60.8
316,Oronde Gadsden,TE,,,,,,24.0,240.0,2.0,,,,60.0
317,Tim Patrick,WR,,,,,,21.0,262.0,2.0,,,,59.2
318,Jaxson Dart,QB,133.0,82.0,4.0,875.0,4.0,,,,80.0,1.0,1.0,59.0
319,Cole Kmet,TE,,,,,,24.0,240.0,2.0,,,1.0,58.0
320,Raheem Mostert,RB,,,,,,13.0,95.0,,232.0,2.0,,57.7
321,Devin Singletary,RB,,,,,,10.0,74.0,,282.0,2.0,,57.6
322,Demarcus Robinson,WR,,,,,,19.0,263.0,2.0,,,,57.3
323,Isaac TeSlaa,WR,,,,,,18.0,268.0,2.0,,,,56.8
